0.01|-0.1|16|0
0.01|-0.1|16|10
0.01|-0.1|16|20
0.01|-0.1|16|30
0.01|-0.1|16|40
0.01|-0.1|16|50
0.01|-0.1|16|60
0.01|-0.1|16|70
0.01|-0.1|16|80
0.01|-0.1|16|90
0.01|-0.1|16|100
0.01|-0.1|16|110
0.01|-0.1|16|120
0.01|-0.1|16|130
0.01|-0.1|16|140
0.01|-0.1|16|150
0.01|-0.1|16|160
0.01|-0.1|16|170
0.01|-0.1|16|180
0.01|-0.1|16|190
0.01|-0.1|16|200
0.01|-0.1|16|210
0.01|-0.1|16|220
0.01|-0.1|16|230
0.01|-0.1|16|240
0.01|-0.1|16|250
0.01|-0.1|16|260
0.01|-0.1|16|270
0.01|-0.1|16|280
0.01|-0.1|16|290
0.01|-0.1|16|300
0.01|-0.1|16|310
0.01|-0.1|16|320
0.01|-0.1|16|330
0.01|-0.1|16|340
0.01|-0.1|16|350
0.01|-0.1|16|360
